IncidentId,Factor_Type,Factor,Factor_Text
32639747,Human Factor,19,OVERCORRECTING/OVERSTEERING
32639977,Human Factor,01,ALCOHOL INVOLVEMENT
32640252,Human Factor,26,FAILED TO KEEP PROPER LANE
32640253,Human Factor,12,IMPROPER BACKING
32640255,Human Factor,18,NOT UNDER PROPER CONTROL
32640837,Human Factor,26,FAILED TO KEEP PROPER LANE
32641353,Human Factor,17,MISJUDGE CLEARANCE
32641675,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32642225,Human Factor,26,FAILED TO KEEP PROPER LANE
32642226,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32642268,Human Factor,14,INATTENTION
32642375,Human Factor,14,INATTENTION
32642376,Human Factor,18,NOT UNDER PROPER CONTROL
32642504,Human Factor,11,FOLLOWING TOO CLOSE
32642833,Human Factor,17,MISJUDGE CLEARANCE
32642835,Human Factor,17,MISJUDGE CLEARANCE
32643082,Human Factor,23,TURNING IMPROPERLY
32643093,Human Factor,04,DISTRACTION
32643334,Human Factor,14,INATTENTION
32643737,Human Factor,14,INATTENTION
32643849,Human Factor,14,INATTENTION
32644362,Human Factor,18,NOT UNDER PROPER CONTROL
32644586,Human Factor,17,MISJUDGE CLEARANCE
32644881,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32645077,Human Factor,03,DISREGARD TRAFFIC CONTROL
32645078,Human Factor,13,IMPROPER PASSING
32645145,Human Factor,26,FAILED TO KEEP PROPER LANE
32645147,Human Factor,17,MISJUDGE CLEARANCE
32645262,Human Factor,01,ALCOHOL INVOLVEMENT
32645435,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32645596,Human Factor,12,IMPROPER BACKING
32645610,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32645611,Human Factor,11,FOLLOWING TOO CLOSE
32645612,Human Factor,26,FAILED TO KEEP PROPER LANE
32645655,Human Factor,11,FOLLOWING TOO CLOSE
32645724,Human Factor,11,FOLLOWING TOO CLOSE
32645866,Human Factor,17,MISJUDGE CLEARANCE
32646327,Human Factor,12,IMPROPER BACKING
32646329,Human Factor,12,IMPROPER BACKING
32646334,Human Factor,26,FAILED TO KEEP PROPER LANE
32646408,Human Factor,11,FOLLOWING TOO CLOSE
32646409,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32646412,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32646630,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32646673,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32648345,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32648348,Human Factor,26,FAILED TO KEEP PROPER LANE
32648518,Human Factor,22,TOO FAST FOR CONDITIONS
32648593,Human Factor,06,EMOTIONAL
32649568,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32649621,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32649622,Human Factor,03,DISREGARD TRAFFIC CONTROL
32649626,Human Factor,26,FAILED TO KEEP PROPER LANE
32649655,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32649677,Human Factor,18,NOT UNDER PROPER CONTROL
32649678,Human Factor,18,NOT UNDER PROPER CONTROL
32649681,Human Factor,03,DISREGARD TRAFFIC CONTROL
32649712,Human Factor,12,IMPROPER BACKING
32649966,Human Factor,01,ALCOHOL INVOLVEMENT
32650081,Human Factor,14,INATTENTION
32650082,Human Factor,26,FAILED TO KEEP PROPER LANE
32650152,Human Factor,26,FAILED TO KEEP PROPER LANE
32650626,Human Factor,05,DRUG INVOLVEMENT
32651143,Human Factor,17,MISJUDGE CLEARANCE
32651144,Human Factor,18,NOT UNDER PROPER CONTROL
32651145,Human Factor,11,FOLLOWING TOO CLOSE
32651146,Human Factor,17,MISJUDGE CLEARANCE
32651147,Human Factor,11,FOLLOWING TOO CLOSE
32651289,Human Factor,12,IMPROPER BACKING
32651290,Human Factor,14,INATTENTION
32651513,Human Factor,26,FAILED TO KEEP PROPER LANE
32651713,Human Factor,17,MISJUDGE CLEARANCE
32651721,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32651815,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32651905,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32652217,Human Factor,06,EMOTIONAL
32652236,Human Factor,03,DISREGARD TRAFFIC CONTROL
32652238,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32652342,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32652392,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32652571,Human Factor,17,MISJUDGE CLEARANCE
32652694,Human Factor,18,NOT UNDER PROPER CONTROL
32652696,Human Factor,12,IMPROPER BACKING
32653165,Human Factor,14,INATTENTION
32653797,Human Factor,01,ALCOHOL INVOLVEMENT
32654181,Human Factor,12,IMPROPER BACKING
32654348,Human Factor,14,INATTENTION
32654352,Human Factor,10,FELL ASLEEP
32654921,Human Factor,26,FAILED TO KEEP PROPER LANE
32655297,Human Factor,12,IMPROPER BACKING
32655575,Human Factor,11,FOLLOWING TOO CLOSE
32655576,Human Factor,26,FAILED TO KEEP PROPER LANE
32655608,Human Factor,14,INATTENTION
32655757,Human Factor,26,FAILED TO KEEP PROPER LANE
32655758,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32655862,Human Factor,18,NOT UNDER PROPER CONTROL
32655864,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32655881,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32655887,Human Factor,14,INATTENTION
32655890,Human Factor,11,FOLLOWING TOO CLOSE
32656507,Human Factor,03,DISREGARD TRAFFIC CONTROL
32657221,Human Factor,10,FELL ASLEEP
32657576,Human Factor,18,NOT UNDER PROPER CONTROL
32657577,Human Factor,11,FOLLOWING TOO CLOSE
32658755,Human Factor,06,EMOTIONAL
32658785,Human Factor,03,DISREGARD TRAFFIC CONTROL
32659566,Human Factor,14,INATTENTION
32672733,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32672735,Human Factor,18,NOT UNDER PROPER CONTROL
32672740,Human Factor,14,INATTENTION
32672749,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32672752,Human Factor,11,FOLLOWING TOO CLOSE
32673077,Human Factor,18,NOT UNDER PROPER CONTROL
32673079,Human Factor,04,DISTRACTION
32673098,Human Factor,12,IMPROPER BACKING
32677323,Human Factor,12,IMPROPER BACKING
32685945,Human Factor,01,ALCOHOL INVOLVEMENT
32687326,Human Factor,03,DISREGARD TRAFFIC CONTROL
32687726,Human Factor,04,DISTRACTION
32689935,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32689949,Human Factor,04,DISTRACTION
32690056,Human Factor,11,FOLLOWING TOO CLOSE
32703482,Human Factor,26,FAILED TO KEEP PROPER LANE
32703483,Human Factor,14,INATTENTION
32703485,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32703487,Human Factor,17,MISJUDGE CLEARANCE
32703489,Human Factor,18,NOT UNDER PROPER CONTROL
32703490,Human Factor,12,IMPROPER BACKING
32703491,Human Factor,12,IMPROPER BACKING
32721755,Human Factor,14,INATTENTION
32738387,Human Factor,17,MISJUDGE CLEARANCE
32738393,Human Factor,14,INATTENTION
32738403,Human Factor,18,NOT UNDER PROPER CONTROL
32738407,Human Factor,14,INATTENTION
32738410,Human Factor,17,MISJUDGE CLEARANCE
32738421,Human Factor,03,DISREGARD TRAFFIC CONTROL
32738423,Human Factor,12,IMPROPER BACKING
32742698,Human Factor,18,NOT UNDER PROPER CONTROL
32742700,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32749928,Human Factor,14,INATTENTION
32765904,Human Factor,26,FAILED TO KEEP PROPER LANE
32765907,Human Factor,12,IMPROPER BACKING
32765908,Human Factor,14,INATTENTION
32765913,Human Factor,14,INATTENTION
32765917,Human Factor,18,NOT UNDER PROPER CONTROL
32765925,Human Factor,17,MISJUDGE CLEARANCE
32765928,Human Factor,12,IMPROPER BACKING
32765947,Human Factor,14,INATTENTION
32770588,Human Factor,11,FOLLOWING TOO CLOSE
32770590,Human Factor,12,IMPROPER BACKING
32770591,Human Factor,01,ALCOHOL INVOLVEMENT
32770592,Human Factor,11,FOLLOWING TOO CLOSE
32770593,Human Factor,18,NOT UNDER PROPER CONTROL
32788908,Human Factor,18,NOT UNDER PROPER CONTROL
32788910,Human Factor,18,NOT UNDER PROPER CONTROL
32788915,Human Factor,12,IMPROPER BACKING
32811404,Human Factor,11,FOLLOWING TOO CLOSE
32820148,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32820153,Human Factor,17,MISJUDGE CLEARANCE
32823896,Human Factor,17,MISJUDGE CLEARANCE
32844168,Human Factor,11,FOLLOWING TOO CLOSE
32853405,Human Factor,17,MISJUDGE CLEARANCE
32853428,Human Factor,18,NOT UNDER PROPER CONTROL
32872664,Human Factor,12,IMPROPER BACKING
32872669,Human Factor,14,INATTENTION
32872671,Human Factor,14,INATTENTION
32897300,Human Factor,17,MISJUDGE CLEARANCE
32897312,Human Factor,26,FAILED TO KEEP PROPER LANE
32903315,Human Factor,14,INATTENTION
32920681,Human Factor,17,MISJUDGE CLEARANCE
32920700,Human Factor,12,IMPROPER BACKING
32955083,Human Factor,26,FAILED TO KEEP PROPER LANE
32966408,Human Factor,14,INATTENTION
32984579,Human Factor,18,NOT UNDER PROPER CONTROL
32989132,Human Factor,14,INATTENTION
32989133,Human Factor,14,INATTENTION
32989136,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
32989137,Human Factor,11,FOLLOWING TOO CLOSE
32989139,Human Factor,14,INATTENTION
33010251,Human Factor,12,IMPROPER BACKING
33177151,Human Factor,11,FOLLOWING TOO CLOSE
32534246,Vehicular Factor,08,TIRE FAILURE
32536480,Vehicular Factor,01,BRAKES DEFECTIVE
32546586,Vehicular Factor,02,HEADLIGHTS DEFECTIVE
32560936,Vehicular Factor,01,BRAKES DEFECTIVE
32573419,Vehicular Factor,02,HEADLIGHTS DEFECTIVE
32585658,Vehicular Factor,01,BRAKES DEFECTIVE
32600566,Vehicular Factor,08,TIRE FAILURE
32609481,Vehicular Factor,03,LOAD SECUREMENT
32610012,Vehicular Factor,03,LOAD SECUREMENT
32645263,Vehicular Factor,08,TIRE FAILURE
32647493,Vehicular Factor,01,BRAKES DEFECTIVE
32738408,Vehicular Factor,03,LOAD SECUREMENT
32757619,Vehicular Factor,03,LOAD SECUREMENT
31172757,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31172922,Environmental Factor,11,SLIPPERY SURFACE
31173548,Environmental Factor,11,SLIPPERY SURFACE
31174646,Environmental Factor,11,SLIPPERY SURFACE
31174717,Environmental Factor,11,SLIPPERY SURFACE
31175395,Environmental Factor,11,SLIPPERY SURFACE
31175821,Environmental Factor,11,SLIPPERY SURFACE
31175843,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31176075,Environmental Factor,11,SLIPPERY SURFACE
31176076,Environmental Factor,11,SLIPPERY SURFACE
31176080,Environmental Factor,11,SLIPPERY SURFACE
31176085,Environmental Factor,11,SLIPPERY SURFACE
31176086,Environmental Factor,11,SLIPPERY SURFACE
31176087,Environmental Factor,11,SLIPPERY SURFACE
31176533,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31177052,Environmental Factor,01,ANIMALS ACTION
31177622,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31178513,Environmental Factor,11,SLIPPERY SURFACE
31180401,Environmental Factor,05,GLARE (SUN)
31180620,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31185759,Environmental Factor,05,GLARE (SUN)
31186141,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31186428,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31189256,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31192352,Environmental Factor,05,GLARE (SUN)
31193665,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31196055,Environmental Factor,05,GLARE (SUN)
31197519,Environmental Factor,05,GLARE (SUN)
31197522,Environmental Factor,16,"NON-HIGHWAY WORK: WORK ZONE (Utility, Tree, etc.)"
31200653,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31202264,Environmental Factor,04,FIXED OBJECT(S)
31204203,Environmental Factor,11,SLIPPERY SURFACE
31204939,Environmental Factor,02,CONSTRUCTION WORK ZONE
31207574,Environmental Factor,05,GLARE (SUN)
31207961,Environmental Factor,16,"NON-HIGHWAY WORK: WORK ZONE (Utility, Tree, etc.)"
31208953,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31211830,Environmental Factor,16,"NON-HIGHWAY WORK: WORK ZONE (Utility, Tree, etc.)"
31212336,Environmental Factor,09,MAINTENANCE/UTILITY WORK ZONE
31212403,Environmental Factor,03,DEBRIS IN ROADWAY
31213806,Environmental Factor,05,GLARE (SUN)
31217420,Environmental Factor,02,CONSTRUCTION WORK ZONE
31217906,Environmental Factor,05,GLARE (SUN)
31218743,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31218948,Environmental Factor,01,ANIMALS ACTION
31222571,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31223096,Environmental Factor,01,ANIMALS ACTION
31223851,Environmental Factor,15,GLARE (OTHER)
31233366,Environmental Factor,02,CONSTRUCTION WORK ZONE
31233368,Environmental Factor,02,CONSTRUCTION WORK ZONE
31233370,Environmental Factor,02,CONSTRUCTION WORK ZONE
31236073,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31236301,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31238651,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31241576,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31242138,Environmental Factor,07,IMPROPERLY PARKED VEHICLE(S)
31244262,Environmental Factor,14,"VIEW OBSTRUCTED, LIMITED DUE TO WEATHER CONDITIONS"
31244514,Environmental Factor,11,SLIPPERY SURFACE
31244515,Environmental Factor,11,SLIPPERY SURFACE
31245342,Environmental Factor,03,DEBRIS IN ROADWAY
31245343,Environmental Factor,11,SLIPPERY SURFACE
31245898,Environmental Factor,11,SLIPPERY SURFACE
31246128,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31246361,Environmental Factor,13,WATER POOLING
31246572,Environmental Factor,11,SLIPPERY SURFACE
31246588,Environmental Factor,11,SLIPPERY SURFACE
31246934,Environmental Factor,11,SLIPPERY SURFACE
31246937,Environmental Factor,11,SLIPPERY SURFACE
31251172,Environmental Factor,01,ANIMALS ACTION
31251473,Environmental Factor,01,ANIMALS ACTION
31251615,Environmental Factor,05,GLARE (SUN)
31253149,Environmental Factor,05,GLARE (SUN)
31257888,Environmental Factor,11,SLIPPERY SURFACE
31257889,Environmental Factor,13,WATER POOLING
31261945,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31261984,Environmental Factor,01,ANIMALS ACTION
31262410,Environmental Factor,11,SLIPPERY SURFACE
31262671,Environmental Factor,11,SLIPPERY SURFACE
31262983,Environmental Factor,07,IMPROPERLY PARKED VEHICLE(S)
31264414,Environmental Factor,11,SLIPPERY SURFACE
31264420,Environmental Factor,13,WATER POOLING
31264421,Environmental Factor,13,WATER POOLING
31264424,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31264446,Environmental Factor,13,WATER POOLING
31265519,Environmental Factor,13,WATER POOLING
31265874,Environmental Factor,02,CONSTRUCTION WORK ZONE
31268709,Environmental Factor,11,SLIPPERY SURFACE
31269867,Environmental Factor,11,SLIPPERY SURFACE
31270884,Environmental Factor,02,CONSTRUCTION WORK ZONE
31273171,Environmental Factor,11,SLIPPERY SURFACE
31273262,Environmental Factor,14,"VIEW OBSTRUCTED, LIMITED DUE TO WEATHER CONDITIONS"
31273263,Environmental Factor,11,SLIPPERY SURFACE
31274389,Environmental Factor,11,SLIPPERY SURFACE
31275367,Environmental Factor,11,SLIPPERY SURFACE
31276042,Environmental Factor,05,GLARE (SUN)
31276043,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31276581,Environmental Factor,16,"NON-HIGHWAY WORK: WORK ZONE (Utility, Tree, etc.)"
31276871,Environmental Factor,11,SLIPPERY SURFACE
31276875,Environmental Factor,02,CONSTRUCTION WORK ZONE
31276879,Environmental Factor,11,SLIPPERY SURFACE
31276880,Environmental Factor,11,SLIPPERY SURFACE
31277867,Environmental Factor,11,SLIPPERY SURFACE
31281124,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31281143,Environmental Factor,02,CONSTRUCTION WORK ZONE
31281586,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31281632,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31282085,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31282161,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31283081,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31283805,Environmental Factor,04,FIXED OBJECT(S)
31287198,Environmental Factor,05,GLARE (SUN)
31289815,Environmental Factor,11,SLIPPERY SURFACE
31292175,Environmental Factor,11,SLIPPERY SURFACE
31292304,Environmental Factor,11,SLIPPERY SURFACE
31292310,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31293416,Environmental Factor,03,DEBRIS IN ROADWAY
31296190,Environmental Factor,01,ANIMALS ACTION
31297324,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31297535,Environmental Factor,11,SLIPPERY SURFACE
31299469,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31299472,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31299722,Environmental Factor,05,GLARE (SUN)
31299781,Environmental Factor,09,MAINTENANCE/UTILITY WORK ZONE
31301233,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31303291,Environmental Factor,11,SLIPPERY SURFACE
31304560,Environmental Factor,15,GLARE (OTHER)
31409787,Environmental Factor,08,IMPROPER/NON-WORKING TRAFFIC CONTROLS
31415561,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31415568,Environmental Factor,11,SLIPPERY SURFACE
31910539,Environmental Factor,11,SLIPPERY SURFACE
31173544,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31173547,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31174715,Human Factor,11,FOLLOWING TOO CLOSE
31174716,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31174719,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31175642,Human Factor,11,FOLLOWING TOO CLOSE
31175832,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31175970,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31176077,Human Factor,11,FOLLOWING TOO CLOSE
31176078,Human Factor,04,DISTRACTION
31176079,Human Factor,18,NOT UNDER PROPER CONTROL
31176081,Human Factor,26,FAILED TO KEEP PROPER LANE
31176083,Human Factor,03,DISREGARD TRAFFIC CONTROL
31176084,Human Factor,18,NOT UNDER PROPER CONTROL
31176089,Human Factor,14,INATTENTION
31176090,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31176091,Human Factor,14,INATTENTION
31176102,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31176103,Human Factor,11,FOLLOWING TOO CLOSE
31176201,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31176202,Human Factor,12,IMPROPER BACKING
31176291,Human Factor,17,MISJUDGE CLEARANCE
31176513,Human Factor,14,INATTENTION
31176514,Human Factor,06,EMOTIONAL
31177623,Human Factor,11,FOLLOWING TOO CLOSE
31178530,Human Factor,14,INATTENTION
31179642,Human Factor,03,DISREGARD TRAFFIC CONTROL
31179647,Human Factor,03,DISREGARD TRAFFIC CONTROL
31179657,Human Factor,04,DISTRACTION
31179661,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31179981,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31179982,Human Factor,04,DISTRACTION
31180365,Human Factor,03,DISREGARD TRAFFIC CONTROL
31180380,Human Factor,15,LOST CONSCIOUSNESS/FAINTED
31180599,Human Factor,04,DISTRACTION
31180601,Human Factor,03,DISREGARD TRAFFIC CONTROL
31180602,Human Factor,15,LOST CONSCIOUSNESS/FAINTED
31180686,Human Factor,11,FOLLOWING TOO CLOSE
31180838,Human Factor,18,NOT UNDER PROPER CONTROL
31180892,Human Factor,17,MISJUDGE CLEARANCE
31181150,Human Factor,04,DISTRACTION
31181191,Human Factor,18,NOT UNDER PROPER CONTROL
31181193,Human Factor,17,MISJUDGE CLEARANCE
31181684,Human Factor,02,CELL PHONE
31181859,Human Factor,11,FOLLOWING TOO CLOSE
31181866,Human Factor,01,ALCOHOL INVOLVEMENT
31181867,Human Factor,18,NOT UNDER PROPER CONTROL
31182101,Human Factor,01,ALCOHOL INVOLVEMENT
31182839,Human Factor,03,DISREGARD TRAFFIC CONTROL
31183170,Human Factor,14,INATTENTION
31183766,Human Factor,18,NOT UNDER PROPER CONTROL
31184045,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31184195,Human Factor,14,INATTENTION
31184641,Human Factor,02,CELL PHONE
31184956,Human Factor,03,DISREGARD TRAFFIC CONTROL
31184958,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31184959,Human Factor,11,FOLLOWING TOO CLOSE
31185108,Human Factor,03,DISREGARD TRAFFIC CONTROL
31185109,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31185638,Human Factor,12,IMPROPER BACKING
31185816,Human Factor,14,INATTENTION
31185823,Human Factor,23,TURNING IMPROPERLY
31185968,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31185973,Human Factor,07,EXCEEDED STATED SPEED LIMIT
31185974,Human Factor,04,DISTRACTION
31186006,Human Factor,17,MISJUDGE CLEARANCE
31186090,Human Factor,17,MISJUDGE CLEARANCE
31186117,Human Factor,12,IMPROPER BACKING
31186118,Human Factor,11,FOLLOWING TOO CLOSE
31186119,Human Factor,14,INATTENTION
31186138,Human Factor,14,INATTENTION
31186425,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31186427,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31186509,Human Factor,12,IMPROPER BACKING
31187224,Human Factor,04,DISTRACTION
31187294,Human Factor,01,ALCOHOL INVOLVEMENT
31187335,Human Factor,12,IMPROPER BACKING
31187337,Human Factor,14,INATTENTION
31187544,Human Factor,14,INATTENTION
31187690,Human Factor,14,INATTENTION
31188103,Human Factor,23,TURNING IMPROPERLY
31188490,Human Factor,14,INATTENTION
31188491,Human Factor,18,NOT UNDER PROPER CONTROL
31188492,Human Factor,03,DISREGARD TRAFFIC CONTROL
31188564,Human Factor,18,NOT UNDER PROPER CONTROL
31188748,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31188878,Human Factor,04,DISTRACTION
31188943,Human Factor,18,NOT UNDER PROPER CONTROL
31188944,Human Factor,11,FOLLOWING TOO CLOSE
31188945,Human Factor,14,INATTENTION
31188946,Human Factor,12,IMPROPER BACKING
31188947,Human Factor,18,NOT UNDER PROPER CONTROL
31188948,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31188949,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31188950,Human Factor,11,FOLLOWING TOO CLOSE
31188951,Human Factor,18,NOT UNDER PROPER CONTROL
31188952,Human Factor,26,FAILED TO KEEP PROPER LANE
31188956,Human Factor,03,DISREGARD TRAFFIC CONTROL
31189000,Human Factor,18,NOT UNDER PROPER CONTROL
31189002,Human Factor,14,INATTENTION
31189106,Human Factor,01,ALCOHOL INVOLVEMENT
31189107,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31189136,Human Factor,11,FOLLOWING TOO CLOSE
31189137,Human Factor,14,INATTENTION
31189148,Human Factor,14,INATTENTION
31189418,Human Factor,03,DISREGARD TRAFFIC CONTROL
31189528,Human Factor,01,ALCOHOL INVOLVEMENT
31189728,Human Factor,13,IMPROPER PASSING
31189926,Human Factor,05,DRUG INVOLVEMENT
31189927,Human Factor,01,ALCOHOL INVOLVEMENT
31190190,Human Factor,14,INATTENTION
31190230,Human Factor,23,TURNING IMPROPERLY
31190262,Human Factor,11,FOLLOWING TOO CLOSE
31190806,Human Factor,18,NOT UNDER PROPER CONTROL
31190811,Human Factor,17,MISJUDGE CLEARANCE
31190813,Human Factor,14,INATTENTION
31190956,Human Factor,01,ALCOHOL INVOLVEMENT
31191520,Human Factor,12,IMPROPER BACKING
31191522,Human Factor,03,DISREGARD TRAFFIC CONTROL
31191647,Human Factor,17,MISJUDGE CLEARANCE
31192268,Human Factor,11,FOLLOWING TOO CLOSE
31194525,Human Factor,11,FOLLOWING TOO CLOSE
31195534,Human Factor,11,FOLLOWING TOO CLOSE
31195562,Human Factor,11,FOLLOWING TOO CLOSE
31195563,Human Factor,26,FAILED TO KEEP PROPER LANE
31195565,Human Factor,11,FOLLOWING TOO CLOSE
31195566,Human Factor,04,DISTRACTION
31195568,Human Factor,04,DISTRACTION
31195757,Human Factor,18,NOT UNDER PROPER CONTROL
31195836,Human Factor,17,MISJUDGE CLEARANCE
31195865,Human Factor,19,OVERCORRECTING/OVERSTEERING
31196056,Human Factor,11,FOLLOWING TOO CLOSE
31196431,Human Factor,18,NOT UNDER PROPER CONTROL
31196857,Human Factor,11,FOLLOWING TOO CLOSE
31197070,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31197139,Human Factor,17,MISJUDGE CLEARANCE
31197509,Human Factor,03,DISREGARD TRAFFIC CONTROL
31197510,Human Factor,18,NOT UNDER PROPER CONTROL
31197511,Human Factor,11,FOLLOWING TOO CLOSE
31197512,Human Factor,04,DISTRACTION
31197513,Human Factor,22,TOO FAST FOR CONDITIONS
31197514,Human Factor,14,INATTENTION
31197516,Human Factor,10,FELL ASLEEP
31197517,Human Factor,17,MISJUDGE CLEARANCE
31197520,Human Factor,17,MISJUDGE CLEARANCE
31197528,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31197584,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31197639,Human Factor,11,FOLLOWING TOO CLOSE
31197913,Human Factor,11,FOLLOWING TOO CLOSE
31197990,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31198123,Human Factor,19,OVERCORRECTING/OVERSTEERING
31198225,Human Factor,15,LOST CONSCIOUSNESS/FAINTED
31198503,Human Factor,26,FAILED TO KEEP PROPER LANE
31198556,Human Factor,05,DRUG INVOLVEMENT
31198661,Human Factor,26,FAILED TO KEEP PROPER LANE
31198899,Human Factor,18,NOT UNDER PROPER CONTROL
31199540,Human Factor,14,INATTENTION
31199858,Human Factor,03,DISREGARD TRAFFIC CONTROL
31200347,Human Factor,04,DISTRACTION
31200351,Human Factor,11,FOLLOWING TOO CLOSE
31200354,Human Factor,11,FOLLOWING TOO CLOSE
31200356,Human Factor,11,FOLLOWING TOO CLOSE
31200484,Human Factor,04,DISTRACTION
31200537,Human Factor,11,FOLLOWING TOO CLOSE
31200538,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31201569,Human Factor,11,FOLLOWING TOO CLOSE
31202380,Human Factor,18,NOT UNDER PROPER CONTROL
31202382,Human Factor,04,DISTRACTION
31202383,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31203091,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31203311,Human Factor,03,DISREGARD TRAFFIC CONTROL
31203665,Human Factor,14,INATTENTION
31203819,Human Factor,06,EMOTIONAL
31204197,Human Factor,01,ALCOHOL INVOLVEMENT
31204938,Human Factor,08,FAILED TO YIELD RIGHT OF WAY
31205886,Human Factor,18,NOT UNDER PROPER CONTROL
